127.0.0.1 - - [28/Dec/2017:15:05:15 +0800] "GET / HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/welcome.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/images/acrossTab-2.png HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:15 +0800] "GET /rupeng-admin-prototype/images/acrossTab-close.png HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:15 +0800] "GET /rupeng-admin-prototype/page/subject/list.html HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:16 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2/laypage.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:16 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2//skin/laypage.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:17 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:18 +0800] "GET /rupeng-admin-prototype/page/teacher/list.html HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:20 +0800] "GET /rupeng-admin-prototype/page/classes/list.html HTTP/1.1" 200 4477
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:22 +0800] "GET /rupeng-admin-prototype/page/card/list.html HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:27 +0800] "GET /rupeng-admin-prototype/page/adminUser/list.html HTTP/1.1" 200 5292
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:23:55 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6689
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:23:57 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 200 4025
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:24:03 +0800] "GET /rupeng-admin-prototype/page/classesScore/list.html HTTP/1.1" 200 4003
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:26:32 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:26:34 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:26:39 +0800] "GET /rupeng-admin-prototype/page/classesScore/list.html HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:26:47 +0800] "GET /rupeng-admin-prototype/page/classesScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:26:49 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:27:07 +0800] "GET /rupeng-admin-prototype/page/subject/add.html HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:27:07 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/loading-0.gif HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:27:07 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/icon.png HTTP/1.1" 200 12527
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:27:08 +0800] "GET /rupeng-admin-prototype/page/subject/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:28:00 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:28:28 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:28:30 +0800] "GET /rupeng-admin-prototype/page/classesScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:28:31 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:33:40 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6562
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:33:44 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:33:46 +0800] "GET /rupeng-admin-prototype/page/textModel/add.html HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:33:47 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:34:08 +0800] "GET /rupeng-admin-prototype/page/textModel/update.html HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:34:09 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:34:33 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:34:35 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:34:38 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:34:40 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:35:51 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 200 3556
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:37:32 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:37:40 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6441
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:39:11 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:39:13 +0800] "GET /rupeng-admin-prototype/page/exam/add.html HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:39:20 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:39:31 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:56:57 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:56:59 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:57:04 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 200 4819
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:57:53 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:57:57 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 200 4311
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:58:13 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:58:15 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [28/Dec/2017:16:01:41 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:16:02:07 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:16:02:24 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:16:03:14 +0800] "GET /rupeng-admin-prototype/page/classesScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:16:03:21 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:16:03:23 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html?curr=2&param= HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [28/Dec/2017:16:07:54 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:16:07:57 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:08:47 +0800] "GET /rupeng-admin-prototype/page/studentScore/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:08:51 +0800] "GET /rupeng-admin-prototype/page/exam/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:01 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:03 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:06 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:11 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:12 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:12 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:12 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:15 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:17 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/css/H-ui.admin.css HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/layer.js HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/skin/default/skin.css HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/js/common.js HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/js/H-ui.admin.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/welcome.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/images/acrossTab-2.png HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:44 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:46 +0800] "GET /rupeng-admin-prototype/images/acrossTab-close.png HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:46 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:46 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2/laypage.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:46 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2//skin/laypage.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:48 +0800] "GET /rupeng-admin-prototype/page/textModel/add.html HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:48 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/icon.png HTTP/1.1" 200 12527
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:48 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/loading-0.gif HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:49 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:51 +0800] "GET /rupeng-admin-prototype/page/textModel/update.html HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:09:52 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:10:45 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:10:52 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:10:54 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/css/H-ui.admin.css HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/layer.js HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/skin/default/skin.css HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/js/common.js HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/js/H-ui.admin.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/welcome.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/images/acrossTab-2.png HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:01 +0800] "GET /rupeng-admin-prototype/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:03 +0800] "GET /rupeng-admin-prototype/images/acrossTab-close.png HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:03 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:03 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2/laypage.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:03 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2//skin/laypage.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:04 +0800] "GET /rupeng-admin-prototype/page/textModel/add.html HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:04 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/loading-0.gif HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:04 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/icon.png HTTP/1.1" 200 12527
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:11:05 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:12:33 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:12:37 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:12:38 +0800] "GET /rupeng-admin-prototype/page/textModel/update.html HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:12:39 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:12:43 +0800] "GET /rupeng-admin-prototype/page/textModel/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:12:46 +0800] "GET /rupeng-admin-prototype/page/text/list.html HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:13:48 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:13:54 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:13:54 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/css/H-ui.admin.css HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/layer.js HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/skin/default/skin.css HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/js/H-ui.admin.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:06 +0800] "GET /rupeng-admin-prototype/js/common.js HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:07 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:07 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:07 +0800] "GET /rupeng-admin-prototype/welcome.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:07 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:07 +0800] "GET /rupeng-admin-prototype/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:07 +0800] "GET /rupeng-admin-prototype/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [28/Dec/2017:17:14:07 +0800] "GET /rupeng-admin-prototype/images/acrossTab-2.png HTTP/1.1" 200 5710
