0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:48:25 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:48:28 +0800] "GET /rupeng-admin-prototype/page/teacher/list.html HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:48:30 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:49:31 +0800] "GET /rupeng-admin-prototype/page/user/update.html HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:49:53 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:51:36 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:51:38 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 200 4580
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:52:54 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:52:57 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 200 4714
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:52:58 +0800] "GET /rupeng-admin-prototype/page/student/add.html HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:53:01 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:54:12 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:54:14 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 200 4405
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:54:26 +0800] "GET /rupeng-admin-prototype/page/student/update.html HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:54:38 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:55:05 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:58:32 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:58:34 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:58:52 +0800] "GET /rupeng-admin-prototype/page/student/list.html?curr=2&param= HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:58:58 +0800] "GET /rupeng-admin-prototype/page/student/list.html?curr=2&param= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:59:14 +0800] "GET /rupeng-admin-prototype/page/adminUser/list.html HTTP/1.1" 200 3788
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:59:53 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:00:03 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:00:48 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:19 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:21 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:30 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/css/H-ui.admin.css HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/layer.js HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/skin/default/skin.css HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/js/H-ui.admin.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/js/common.js HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/welcome.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/images/acrossTab-2.png HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:41 +0800] "GET /rupeng-admin-prototype/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:42 +0800] "GET /rupeng-admin-prototype/images/acrossTab-close.png HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:42 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:42 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2/laypage.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:42 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2//skin/laypage.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:44 +0800] "GET /rupeng-admin-prototype/page/student/add.html HTTP/1.1" 200 4426
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:44 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/icon.png HTTP/1.1" 200 12527
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:03:44 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/loading-0.gif HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:04:56 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:04:57 +0800] "GET /rupeng-admin-prototype/page/student/add.html HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:05:20 +0800] "GET /rupeng-admin-prototype/page/student/add.html HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:05:31 +0800] "GET /rupeng-admin-prototype/page/student/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:07:20 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:07:22 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:07:23 +0800] "GET /rupeng-admin-prototype/page/student/update.html HTTP/1.1" 200 4831
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:07:28 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:07:56 +0800] "GET /rupeng-admin-prototype/page/student/update.html HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:08:02 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:08:03 +0800] "GET /rupeng-admin-prototype/page/student/add.html HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:08:06 +0800] "GET /rupeng-admin-prototype/page/student/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:08:10 +0800] "GET /rupeng-admin-prototype/page/teacher/list.html HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:08:10 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/datePicker.gif HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:44 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 5645
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/layer.js HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/skin/default/skin.css HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/css/H-ui.admin.css HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/js/H-ui.admin.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/js/common.js HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/welcome.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [09/Dec/2017:20:09:58 +0800] "GET /rupeng-admin-prototype/images/acrossTab-2.png HTTP/1.1" 200 5710
